"COD_UF";"UNIDADE_DA_FEDERACAO";"POP_2010_0_a_4_ANOS";"POP_2010_5_a_9_ANOS";"POP_2010_10_a_14_ANOS";"POP_2010_15_a_19_ANOS";"POP_2010_20_a_24_ANOS";"POP_2010_25_a_29_ANOS";"POP_2010_30_a_34_ANOS";"POP_2010_35_a_39_ANOS";"POP_2010_40_a_44_ANOS";"POP_2010_45_a_49_ANOS";"POP_2010_50_a_54_ANOS";"POP_2010_55_a_59_ANOS";"POP_2010_60_a_64_ANOS";"POP_2010_65_a_69_ANOS";"POP_2010_70_a_74_ANOS";"POP_2010_75_a_79_ANOS";"POP_2010_80_ANOS_OU_MAIS";"POP_2011_0_a_4_ANOS";"POP_2011_5_a_9_ANOS";"POP_2011_10_a_14_ANOS";"POP_2011_15_a_19_ANOS";"POP_2011_20_a_24_ANOS";"POP_2011_25_a_29_ANOS";"POP_2011_30_a_34_ANOS";"POP_2011_35_a_39_ANOS";"POP_2011_40_a_44_ANOS";"POP_2011_45_a_49_ANOS";"POP_2011_50_a_54_ANOS";"POP_2011_55_a_59_ANOS";"POP_2011_60_a_64_ANOS";"POP_2011_65_a_69_ANOS";"POP_2011_70_a_74_ANOS";"POP_2011_75_a_79_ANOS";"POP_2011_80_ANOS_OU_MAIS";"POP_2012_0_a_4_ANOS";"POP_2012_5_a_9_ANOS";"POP_2012_10_a_14_ANOS";"POP_2012_15_a_19_ANOS";"POP_2012_20_a_24_ANOS";"POP_2012_25_a_29_ANOS";"POP_2012_30_a_34_ANOS";"POP_2012_35_a_39_ANOS";"POP_2012_40_a_44_ANOS";"POP_2012_45_a_49_ANOS";"POP_2012_50_a_54_ANOS";"POP_2012_55_a_59_ANOS";"POP_2012_60_a_64_ANOS";"POP_2012_65_a_69_ANOS";"POP_2012_70_a_74_ANOS";"POP_2012_75_a_79_ANOS";"POP_2012_80_ANOS_OU_MAIS";"POP_2013_0_a_4_ANOS";"POP_2013_5_a_9_ANOS";"POP_2013_10_a_14_ANOS";"POP_2013_15_a_19_ANOS";"POP_2013_20_a_24_ANOS";"POP_2013_25_a_29_ANOS";"POP_2013_30_a_34_ANOS";"POP_2013_35_a_39_ANOS";"POP_2013_40_a_44_ANOS";"POP_2013_45_a_49_ANOS";"POP_2013_50_a_54_ANOS";"POP_2013_55_a_59_ANOS";"POP_2013_60_a_64_ANOS";"POP_2013_65_a_69_ANOS";"POP_2013_70_a_74_ANOS";"POP_2013_75_a_79_ANOS";"POP_2013_80_ANOS_OU_MAIS";"POP_2014_0_a_4_ANOS";"POP_2014_5_a_9_ANOS";"POP_2014_10_a_14_ANOS";"POP_2014_15_a_19_ANOS";"POP_2014_20_a_24_ANOS";"POP_2014_25_a_29_ANOS";"POP_2014_30_a_34_ANOS";"POP_2014_35_a_39_ANOS";"POP_2014_40_a_44_ANOS";"POP_2014_45_a_49_ANOS";"POP_2014_50_a_54_ANOS";"POP_2014_55_a_59_ANOS";"POP_2014_60_a_64_ANOS";"POP_2014_65_a_69_ANOS";"POP_2014_70_a_74_ANOS";"POP_2014_75_a_79_ANOS";"POP_2014_80_ANOS_OU_MAIS";"POP_2015_0_a_4_ANOS";"POP_2015_5_a_9_ANOS";"POP_2015_10_a_14_ANOS";"POP_2015_15_a_19_ANOS";"POP_2015_20_a_24_ANOS";"POP_2015_25_a_29_ANOS";"POP_2015_30_a_34_ANOS";"POP_2015_35_a_39_ANOS";"POP_2015_40_a_44_ANOS";"POP_2015_45_a_49_ANOS";"POP_2015_50_a_54_ANOS";"POP_2015_55_a_59_ANOS";"POP_2015_60_a_64_ANOS";"POP_2015_65_a_69_ANOS";"POP_2015_70_a_74_ANOS";"POP_2015_75_a_79_ANOS";"POP_2015_80_ANOS_OU_MAIS";"POP_2016_0_a_4_ANOS";"POP_2016_5_a_9_ANOS";"POP_2016_10_a_14_ANOS";"POP_2016_15_a_19_ANOS";"POP_2016_20_a_24_ANOS";"POP_2016_25_a_29_ANOS";"POP_2016_30_a_34_ANOS";"POP_2016_35_a_39_ANOS";"POP_2016_40_a_44_ANOS";"POP_2016_45_a_49_ANOS";"POP_2016_50_a_54_ANOS";"POP_2016_55_a_59_ANOS";"POP_2016_60_a_64_ANOS";"POP_2016_65_a_69_ANOS";"POP_2016_70_a_74_ANOS";"POP_2016_75_a_79_ANOS";"POP_2016_80_ANOS_OU_MAIS";"POP_2017_0_a_4_ANOS";"POP_2017_5_a_9_ANOS";"POP_2017_10_a_14_ANOS";"POP_2017_15_a_19_ANOS";"POP_2017_20_a_24_ANOS";"POP_2017_25_a_29_ANOS";"POP_2017_30_a_34_ANOS";"POP_2017_35_a_39_ANOS";"POP_2017_40_a_44_ANOS";"POP_2017_45_a_49_ANOS";"POP_2017_50_a_54_ANOS";"POP_2017_55_a_59_ANOS";"POP_2017_60_a_64_ANOS";"POP_2017_65_a_69_ANOS";"POP_2017_70_a_74_ANOS";"POP_2017_75_a_79_ANOS";"POP_2017_80_ANOS_OU_MAIS";"POP_2018_0_a_4_ANOS";"POP_2018_5_a_9_ANOS";"POP_2018_10_a_14_ANOS";"POP_2018_15_a_19_ANOS";"POP_2018_20_a_24_ANOS";"POP_2018_25_a_29_ANOS";"POP_2018_30_a_34_ANOS";"POP_2018_35_a_39_ANOS";"POP_2018_40_a_44_ANOS";"POP_2018_45_a_49_ANOS";"POP_2018_50_a_54_ANOS";"POP_2018_55_a_59_ANOS";"POP_2018_60_a_64_ANOS";"POP_2018_65_a_69_ANOS";"POP_2018_70_a_74_ANOS";"POP_2018_75_a_79_ANOS";"POP_2018_80_ANOS_OU_MAIS";"POP_2019_0_a_4_ANOS";"POP_2019_5_a_9_ANOS";"POP_2019_10_a_14_ANOS";"POP_2019_15_a_19_ANOS";"POP_2019_20_a_24_ANOS";"POP_2019_25_a_29_ANOS";"POP_2019_30_a_34_ANOS";"POP_2019_35_a_39_ANOS";"POP_2019_40_a_44_ANOS";"POP_2019_45_a_49_ANOS";"POP_2019_50_a_54_ANOS";"POP_2019_55_a_59_ANOS";"POP_2019_60_a_64_ANOS";"POP_2019_65_a_69_ANOS";"POP_2019_70_a_74_ANOS";"POP_2019_75_a_79_ANOS";"POP_2019_80_ANOS_OU_MAIS";"POP_2020_0_a_4_ANOS";"POP_2020_5_a_9_ANOS";"POP_2020_10_a_14_ANOS";"POP_2020_15_a_19_ANOS";"POP_2020_20_a_24_ANOS";"POP_2020_25_a_29_ANOS";"POP_2020_30_a_34_ANOS";"POP_2020_35_a_39_ANOS";"POP_2020_40_a_44_ANOS";"POP_2020_45_a_49_ANOS";"POP_2020_50_a_54_ANOS";"POP_2020_55_a_59_ANOS";"POP_2020_60_a_64_ANOS";"POP_2020_65_a_69_ANOS";"POP_2020_70_a_74_ANOS";"POP_2020_75_a_79_ANOS";"POP_2020_80_ANOS_OU_MAIS"
"11";"Rondônia";136436;150565;158612;158003;153337;148157;134699;118020;106965;91808;72803;55064;39684;28589;20551;13186;12155;134343;146626;159145;158364;153996;150135;138120;120850;109107;94834;76057;57880;41686;29654;21137;13646;12630;133371;143478;158079;158610;154735;151486;141426;124123;110967;97732;79398;60726;43893;30846;21724;14153;13137;133100;141279;155742;158660;155501;152375;144524;127693;112749;100465;82750;63622;46274;32178;22355;14681;13672;133760;139288;153121;158421;156182;153058;147308;131307;114749;103002;86012;66596;48777;33677;23077;15200;14231;135292;137133;150699;157821;156699;153695;149718;134789;117156;105336;89112;69660;51378;35351;23915;15701;14808;136504;135035;146770;158362;157074;154341;151644;138162;119952;107454;92069;72801;54052;37206;24863;16202;15420;137670;134054;143626;157311;157337;155068;152947;141423;123182;109299;94906;76030;56755;39248;25921;16709;16092;139155;133775;141429;154992;157399;155824;153798;144476;126707;111064;97588;79269;59508;41454;27098;17255;16798;139897;134420;139438;152394;157176;156490;154448;147220;130275;113045;100080;82429;62332;43766;28431;17871;17513;139925;135938;137286;149988;156601;156992;155050;149596;133711;115427;102378;85430;65251;46173;29910;18578;18226
"12";"Acre";90458;93501;88826;77966;71232;68276;59860;48387;40437;31885;26250;20718;15415;11769;8188;5580;6577;88578;93418;90507;79882;71954;69008;61778;50297;41878;33227;27114;21553;16061;12213;8548;5727;6756;87495;92835;91818;82048;72890;69415;63572;52439;43181;34768;27944;22411;16795;12619;8966;5899;6950;85792;92365;92691;84311;74068;69652;65175;54705;44457;36425;28799;23282;17591;13023;9421;6097;7160;84870;91870;92861;86429;75502;69952;66516;56928;45882;38062;29773;24149;18408;13481;9870;6337;7383;85420;89829;93095;88239;77186;70477;67562;58985;47564;39590;30927;25017;19213;14017;10305;6619;7620;84882;87963;93025;89930;79106;71212;68305;60905;49466;41023;32255;25869;20024;14634;10719;6944;7875;83850;86896;92452;91248;81274;72163;68726;62699;51601;42318;33774;26691;20856;15337;11097;7318;8157;83908;85208;91992;92130;83539;73352;68978;64307;53854;43591;35405;27537;21702;16090;11481;7719;8472;83568;84300;91501;92314;85661;74790;69296;65654;56070;45005;37021;28493;22550;16867;11905;8116;8824;82983;84864;89474;92557;87475;76480;69833;66708;58117;46681;38523;29628;23392;17635;12405;8499;9216
"13";"Amazonas";401044;389220;405489;369404;343925;327491;289128;235776;194471;159321;127537;97462;70426;52375;37032;24999;28048;400499;386900;407597;377108;348091;331892;298023;245216;201439;165249;132887;102107;73922;54258;38385;25771;28696;401135;387963;404782;386130;352553;335191;306288;255400;208460;171355;138272;106860;77833;56165;39892;26570;29477;402072;391512;399140;395071;357532;337905;313757;265913;215747;177647;143720;111716;82042;58235;41495;27428;30361;404171;397358;392271;401776;363326;340818;320233;276121;223631;184138;149262;116683;86373;60648;43144;28372;31311;408138;399759;388591;404985;370005;344440;325650;285605;232265;190848;154923;121774;90717;63507;44805;29423;32305;409533;399254;386290;407089;377636;348562;330031;294427;241599;197724;160728;126943;95132;66756;46507;30585;33375;408846;399915;387365;404293;386576;352971;333328;302629;251669;204653;166712;132154;99654;70384;48243;31866;34554;408742;400870;390922;398681;395428;357895;336043;310054;262062;211852;172876;137432;104277;74284;50125;33231;35837;406547;402987;396768;391850;402062;363618;338955;316498;272163;219634;179242;142800;109009;78301;52312;34633;37218;403816;406968;399177;388197;405227;370216;342570;321898;281555;228157;185820;148290;113860;82333;54887;36050;38693
"14";"Roraima";50711;50303;52543;47558;44147;43713;37446;30110;25614;21781;17124;12801;9182;6082;4210;2606;2889;51445;49830;52840;48825;44926;44472;39163;31497;26410;22516;17943;13476;9741;6461;4372;2713;2913;51852;50119;52446;50264;45829;44892;40888;33049;27226;23226;18787;14176;10298;6903;4533;2852;2950;52087;50663;51865;51686;46845;45138;42517;34718;28112;23922;19635;14900;10867;7387;4714;3004;3006;52447;50893;51676;52818;47943;45469;43895;36430;29135;24637;20449;15656;11452;7895;4938;3157;3080;52931;51490;51195;53511;49159;46164;45032;38186;30381;25421;21226;16441;12078;8410;5226;3301;3176;53503;52265;50739;53840;50625;47303;46088;40091;31902;26328;22008;17277;12744;8939;5574;3447;3294;54616;52953;51160;53691;53361;50407;48203;42992;34266;27778;23034;18317;13531;9520;6006;3604;3446;56192;53732;52010;53545;56903;55310;51815;46987;37579;29910;24412;19582;14473;10191;6506;3796;3625;57800;54614;52601;53712;59600;59768;55632;50842;41007;32196;25920;20829;15470;10886;7040;4025;3819;59429;55499;53536;53438;60916;63061;59214;54063;44208;34456;27439;21951;16481;11602;7566;4305;4017
"15";"Pará";797433;823378;847110;797478;758804;716721;625351;521264;440515;358628;298059;236077;176721;136143;96588;63546;69137;782470;819406;846057;805092;762283;725713;643486;538418;454441;371222;307210;245819;184030;140478;100225;65740;70853;766883;816291;840094;814792;765695;731905;661113;556811;467652;385223;315994;255567;192376;144550;104219;68067;72902;750588;812055;832444;824836;769525;736097;677554;575962;480791;400078;324906;265210;201451;148755;108412;70547;75208;739204;804764;824901;832533;774427;739566;691876;595111;494904;414890;334688;274624;210777;153651;112567;73213;77722;734749;793031;817535;836239;780667;743184;703546;613695;510589;429138;345775;283769;220050;159555;116592;76069;80392;727703;778195;813660;835330;788440;746829;712595;631730;527590;442876;358107;292654;229329;166375;120499;79148;83286;722199;762734;810638;829542;798263;750413;718882;649269;545815;455929;371798;301199;238622;174151;124193;82531;86456;722380;746554;806502;822083;808431;754403;723191;665645;564792;468914;386325;309874;247827;182595;128025;86076;89880;720553;735268;799314;814737;816264;759451;726789;679935;583769;482866;400816;319387;256823;191274;132473;89594;93552;717267;730890;787696;807565;820147;765815;730538;691601;602204;498356;414768;330158;265574;199911;137809;93002;97444
"16";"Amapá";79189;81886;80177;74149;69366;64565;55953;47312;37721;29306;23124;16831;11322;8936;6050;3977;4397;79467;80762;81759;75773;70909;66331;58092;49264;39627;30795;24257;17997;12039;9208;6392;4171;4610;79276;79904;82711;77451;72395;67905;60319;51163;41607;32396;25359;19180;12937;9412;6790;4358;4852;79232;79228;83417;79097;73858;69356;62549;53048;43628;34092;26479;20360;13968;9628;7201;4553;5115;79398;79369;83586;80561;75349;70791;64658;54988;45637;35859;27691;21513;15061;9960;7570;4778;5387;79722;80104;82919;81750;76889;72281;66572;57021;47604;37675;29031;22643;16156;10470;7872;5036;5671;80137;80368;81788;83308;78468;73774;68299;59127;49532;39551;30491;23744;17271;11145;8120;5331;5965;80866;80169;80919;84237;80095;75211;69836;61321;51407;41504;32060;24815;18402;11986;8314;5668;6274;81129;80117;80229;84920;81694;76625;71249;63520;53269;43496;33724;25901;19534;12943;8521;6022;6601;80698;80265;80356;85068;83112;78066;72646;65598;55185;45478;35450;27085;20639;13961;8831;6336;6957;80179;80576;81075;84379;84256;79556;74096;67485;57193;47417;37231;28388;21721;14985;9294;6598;7344
"17";"Tocantins";131747;136769;146144;141135;133584;126807;115959;96636;86077;72221;58920;47900;37392;28673;22170;14778;16077;129395;136807;144720;142461;134522;128093;118910;99979;88054;74743;60993;49585;38880;29643;22728;15431;16534;127957;136184;142623;143892;135580;129150;121279;103959;89706;77381;63180;51255;40446;30734;23234;16141;17078;126607;134717;140704;145156;136751;130057;123168;108244;91321;80022;65464;52950;42067;31930;23755;16856;17705;125667;133441;138734;145848;138007;130923;124787;112289;93358;82490;67823;54738;43708;33204;24378;17510;18413;125808;131497;137310;145737;139314;131815;126270;115755;96068;84707;70231;56659;45339;34547;25158;18073;19194;124837;129164;137343;144332;140662;132785;127564;118684;99375;86673;72718;58684;46974;35958;26063;18577;20055;124055;127741;136717;142251;142122;133868;128630;121039;103313;88317;75318;60825;48593;37439;27075;19046;21001;124911;126403;135251;140351;143409;135066;129550;122917;107549;89929;77922;63057;50239;38975;28178;19524;21998;125433;125475;133973;138398;144130;136343;130427;124529;111552;91952;80356;65362;51972;40532;29350;20094;22988;125436;125619;132027;136994;144051;137673;131322;126007;114987;94634;82545;67721;53833;42077;30583;20791;23948
"21";"Maranhão";676810;696858;734880;691523;665689;603261;507358;408851;360370;309468;260467;219023;174685;138963;107817;72184;82757;657305;700966;724435;694700;661222;610230;523010;421740;366356;316861;266525;223794;179486;141393;109738;74698;84754;637117;706892;706042;701164;655729;615201;537487;437156;371493;324562;273049;228309;184734;144120;111369;77328;87078;615848;700896;695649;708674;650548;617988;550503;454223;376896;332273;279940;232811;190177;147230;112913;79913;89697;603329;685541;689135;713625;647756;618381;561786;471522;384250;339534;287022;237678;195460;150824;114624;82249;92586;597566;665960;684843;713869;648513;616321;571148;488079;394542;346160;294177;243143;200374;154940;116667;84255;95687;589382;646718;689134;703783;652337;612698;578521;503771;407386;352183;301495;249103;205024;159503;118996;86010;99055;586058;626801;695238;685785;659423;608053;583935;518311;422710;357389;309117;255508;209453;164478;121591;87550;102748;588944;605783;689448;675780;667534;603716;587200;531431;439652;362873;316754;262263;213872;169641;124524;89031;106609;589381;593482;674316;669646;673106;601734;588105;542850;456840;370253;323964;269209;218641;174664;127882;90656;110452;587403;587909;654966;665719;674011;603246;586595;552389;473307;380504;330568;276235;223963;179357;131701;92546;114179
"22";"Piauí";263862;294406;314225;306069;305642;279200;250528;209452;192405;171751;145650;122962;100535;78285;63314;42377;51980;256868;286414;314777;305582;302008;280261;255122;214719;194275;175283;149518;125851;103301;80148;64158;43488;51862;251469;279040;311804;306412;297387;281490;258055;221401;195545;178563;153591;128699;106001;82482;64568;45056;51830;245975;273689;305006;307858;292628;282394;259793;228822;196874;181564;157750;131630;108676;85142;64873;46785;51948;242398;267503;297551;308659;289002;282060;261067;235816;199189;184195;161746;134791;111360;87864;65523;48266;52330;241214;259243;291990;308028;287247;279970;262300;241656;203022;186437;165438;138259;114082;90483;66763;49320;53007;238970;252276;283991;308595;286973;276692;263523;246236;208227;188280;168873;141970;116828;93061;68456;50059;53989;237204;246966;276676;305721;288074;272509;264974;249244;214866;189585;172108;145919;119560;95610;70574;50483;55327;238007;241564;271369;299043;289782;268189;266114;251074;222230;190953;175077;149945;122368;98142;72977;50838;56859;238563;238066;265235;291712;290855;264982;266033;252448;229179;193285;177681;153823;125398;100682;75435;51478;58372;237542;236956;257032;286267;290503;263623;264220;253789;234994;197102;179921;157403;128720;103258;77809;52590;59751
"23";"Ceará";683955;731602;858837;858363;834034;753001;666895;584272;548510;485761;379309;317375;271565;207874;173206;113546;155661;672386;717209;838674;859116;836069;765549;681233;594760;553451;499676;395559;324229;278097;214293;176080;117970;156485;662679;705117;812286;861826;835462;777981;694722;608123;556868;511178;414598;331498;283434;222948;176976;124451;157140;653279;696427;781900;863665;833327;789289;707570;623407;560056;520459;434801;339904;288157;232685;177246;131645;158029;646630;689842;751701;860220;831684;798062;720333;639059;564975;528067;453742;350512;293217;241774;178863;137733;159853;646876;679841;729193;849021;831612;803438;733263;654073;572833;534466;469914;363833;299247;249237;182893;141861;162898;648023;668448;714930;829152;832840;806001;746046;668482;583382;539553;483653;379659;305963;255501;188873;144446;167111;649161;658844;702898;803021;835946;805875;758656;681998;596707;543099;495037;398134;313046;260669;196805;145439;172655;654061;649545;694265;772918;838173;804227;770162;694886;611921;546431;504279;417726;321212;265288;205688;145967;178900;657975;642978;687724;743010;835152;803066;779155;707705;627506;551455;511903;436117;331466;270231;213989;147651;184995;656807;643288;677777;720757;824443;803453;784793;720689;642459;559364;518355;451861;344301;276060;220852;151349;190495
"24";"Rio Grande do Norte";257447;271026;297645;301247;313696;291968;256474;226686;217993;193564;148307;116423;105038;77122;63081;40963;61259;253075;268575;293729;299945;312524;297518;263460;230487;219717;199918;156376;119802;106955;80604;64589;42734;61407;250871;265682;287831;299954;309425;302631;270465;235591;220534;205207;165173;124344;107613;85241;65290;45392;61476;248087;263088;281573;300456;305304;306842;277324;241725;221093;209460;174151;129961;107757;90291;65776;48408;61656;245281;261328;275585;300053;301610;309482;283866;248377;222351;212787;182530;136447;108547;94607;66928;51062;62243;244856;257170;271863;297914;299216;310193;289919;255189;224912;215328;189809;143617;110681;97582;69200;52992;63373;243487;252822;269405;294007;297961;309094;295461;262133;228699;217070;196051;151455;113982;99434;72424;54333;65025;241206;250635;266508;288126;298005;306084;300576;269095;233770;217917;201266;160007;118372;100137;76680;55017;67268;240597;247866;263910;281887;298542;302056;304789;275919;239860;218515;205473;168732;123787;100373;81298;55544;69862;239675;245076;262143;275916;298175;298449;307453;282425;246461;219799;208774;176889;130034;101207;85256;56651;72470;237720;244661;257979;272210;296079;296133;308197;288451;253221;222363;211310;183984;136938;103294;88004;58711;74910
"25";"Paraíba";303657;331357;353484;357823;351260;332027;301837;263842;247119;217342;174559;148897;131551;102733;86589;55763;80956;295247;326247;351124;356384;349442;333764;307429;269112;249904;223584;180976;151394;133970;105396;87868;58017;79955;285576;320194;347345;355034;347641;334808;312099;275710;251792;229194;188390;154277;135628;109180;88043;61377;79085;276344;314849;342146;353597;345922;335141;315912;283070;253475;234120;196285;157758;136900;113498;87819;65111;78547;272544;309582;336416;351788;344382;334734;319053;290259;255997;238333;203894;162106;138371;117442;88228;68244;78686;273406;302377;331663;349438;343071;333592;321615;296659;259990;241882;210721;167448;140413;120509;89814;70311;79628;274551;294034;326563;347162;341899;332098;323526;302288;265262;244713;216889;173710;142909;122884;92360;71527;81318;279039;284421;320520;343479;340811;330610;324757;307002;271845;246669;222454;180928;145763;124574;95884;71869;83812;285497;275237;315189;338372;339636;329206;325278;310876;279175;248422;227364;188610;149179;125922;99869;71904;86760;287281;271466;309930;332740;338089;327971;325065;314086;286336;251000;231583;196023;153421;127446;103523;72475;89692;285840;272351;302737;328079;336002;326968;324118;316726;292722;255016;235156;202693;158602;129497;106400;74019;92351
